date,cumCasesByPublishDate,cumDeaths28DaysByDeathDate,newCasesByPublishDate,newDeaths28DaysByPublishDate,cumCases,cumDeaths,dailyTest,percentPos
2020-01-03,,,0,0,0,0,,
2020-01-04,,,0,0,0,0,,
2020-01-05,,,0,0,0,0,,
2020-01-06,,,0,0,0,0,,
2020-01-07,,,0,0,0,0,,
2020-01-08,,,0,0,0,0,,
2020-01-09,,,0,0,0,0,,
2020-01-10,,,0,0,0,0,,
2020-01-11,,,0,0,0,0,,
2020-01-12,,,0,0,0,0,,
2020-01-13,,,0,0,0,0,,
2020-01-14,,,0,0,0,0,,
2020-01-15,,,0,0,0,0,,
2020-01-16,,,0,0,0,0,,
2020-01-17,,,0,0,0,0,,
2020-01-18,,,0,0,0,0,,
2020-01-19,,,0,0,0,0,,
2020-01-20,,,0,0,0,0,,
2020-01-21,,,0,0,0,0,,
2020-01-22,,,0,0,0,0,,
2020-01-23,,,0,0,0,0,,
2020-01-24,,,0,0,0,0,,
2020-01-25,,,0,0,0,0,,
2020-01-26,,,0,0,0,0,,
2020-01-27,,,0,0,0,0,,
2020-01-28,,,0,0,0,0,,
2020-01-29,,,0,0,0,0,,
2020-01-30,,,0,0,0,0,,
2020-01-31,2.0,,2,0,2,0,,
2020-02-01,2.0,,0,0,2,0,,
2020-02-02,2.0,,0,0,2,0,,
2020-02-03,2.0,,0,0,2,0,,
2020-02-04,2.0,,0,0,2,0,,
2020-02-05,2.0,,0,0,2,0,,
2020-02-06,3.0,,1,0,3,0,,
2020-02-07,3.0,,0,0,3,0,,
2020-02-08,3.0,,0,0,3,0,,
2020-02-09,4.0,,1,0,4,0,,
2020-02-10,8.0,,4,0,8,0,,
2020-02-11,8.0,,0,0,8,0,,
2020-02-12,8.0,,0,0,8,0,,
2020-02-13,9.0,,1,0,9,0,,
2020-02-14,9.0,,0,0,9,0,,
2020-02-15,9.0,,0,0,9,0,,
2020-02-16,9.0,,0,0,9,0,,
2020-02-17,9.0,,0,0,9,0,,
2020-02-18,9.0,,0,0,9,0,,
2020-02-19,9.0,,0,0,9,0,,
2020-02-20,9.0,,0,0,9,0,,
2020-02-21,9.0,,0,0,9,0,,
2020-02-22,9.0,,0,0,9,0,,
2020-02-23,9.0,,0,0,9,0,,
2020-02-24,13.0,,4,0,13,0,,
2020-02-25,13.0,,0,0,13,0,,
2020-02-26,13.0,,0,0,13,0,,
2020-02-27,13.0,,0,0,13,0,,
2020-02-28,19.0,,6,0,19,0,,
2020-02-29,23.0,,4,0,23,0,,
2020-03-01,35.0,,12,0,35,0,,
2020-03-02,40.0,1.0,5,0,40,0,,
2020-03-03,51.0,3.0,11,0,51,0,,
2020-03-04,85.0,3.0,34,0,85,0,,
2020-03-05,114.0,6.0,29,0,114,0,,
2020-03-06,160.0,6.0,46,1,160,1,,
2020-03-07,206.0,6.0,46,1,206,2,,
2020-03-08,271.0,9.0,65,0,271,2,,
2020-03-09,321.0,14.0,50,1,321,3,,
2020-03-10,373.0,17.0,52,4,373,7,,
2020-03-11,456.0,25.0,83,0,456,7,,
2020-03-12,590.0,38.0,134,2,590,9,,
2020-03-13,797.0,54.0,207,1,797,10,,
2020-03-14,1061.0,76.0,264,18,1061,28,,
2020-03-15,1391.0,108.0,330,14,1391,42,,
2020-03-16,1543.0,154.0,152,22,1543,64,,
2020-03-17,1950.0,206.0,407,16,1950,80,,
2020-03-18,2626.0,274.0,676,34,2626,114,,
2020-03-19,3269.0,348.0,643,45,3269,159,,
2020-03-20,3983.0,457.0,714,32,3983,191,,
2020-03-21,5018.0,588.0,1035,58,5018,249,,
2020-03-22,5683.0,753.0,665,36,5683,285,,
2020-03-23,6650.0,939.0,967,76,6650,361,,
2020-03-24,8077.0,1176.0,1427,148,8077,509,,
2020-03-25,9529.0,1478.0,1452,191,9529,700,,
2020-03-26,11658.0,1838.0,2129,181,11658,881,,
2020-03-27,14548.0,2237.0,2890,288,14548,1169,,
2020-03-28,17104.0,2673.0,2556,292,17104,1461,,
2020-03-29,19606.0,3180.0,2502,212,19606,1673,,
2020-03-30,22271.0,3765.0,2665,374,22271,2047,,
2020-03-31,25521.0,4426.0,3250,403,25521,2450,11896.0,0.27320107599193005
2020-04-01,30088.0,5193.0,4567,672,30088,3122,11947.0,0.3822717000083703
2020-04-02,34610.0,5998.0,4522,657,34610,3779,13623.0,0.3319386331938633
2020-04-03,39282.0,6837.0,4672,736,39282,4515,14629.0,0.31936564358466063
2020-04-04,43282.0,7741.0,4000,756,43282,5271,16080.0,0.24875621890547264
2020-04-05,49481.0,8655.0,6199,599,49481,5870,13238.0,0.46827315304426653
2020-04-06,53624.0,9547.0,4143,567,53624,6437,13775.0,0.3007622504537205
