date,areaType,areaCode,areaName,cumCasesByPublishDate,cumDeaths28DaysByDeathDate,newCasesByPublishDate,newDeathsByDeathDate,newDeaths28DaysByPublishDate
"2021-01-07",overview,K02000001,United Kingdom,2889419,,52618,,1162
"2021-01-06",overview,K02000001,United Kingdom,2836801,78501,62322,,1041
"2021-01-05",overview,K02000001,United Kingdom,2774479,78273,60916,,830
"2021-01-04",overview,K02000001,United Kingdom,2713563,77786,58784,,407
"2021-01-03",overview,K02000001,United Kingdom,2654779,77190,54990,,455
"2021-01-02",overview,K02000001,United Kingdom,2599789,76631,57725,,445
"2021-01-01",overview,K02000001,United Kingdom,2542065,76081,53285,,656
"2020-12-31",overview,K02000001,United Kingdom,2488780,75517,55892,,964
"2020-12-30",overview,K02000001,United Kingdom,2432888,74918,50023,,981
"2020-12-29",overview,K02000001,United Kingdom,2382865,74300,53135,,414
"2020-12-28",overview,K02000001,United Kingdom,2329730,73693,41385,,357
"2020-12-27",overview,K02000001,United Kingdom,2288345,73078,30501,,317
"2020-12-26",overview,K02000001,United Kingdom,2257844,72476,35691,,230
"2020-12-25",overview,K02000001,United Kingdom,2222153,71873,32725,,613
"2020-12-24",overview,K02000001,United Kingdom,2189428,71304,39877,,585
"2020-12-23",overview,K02000001,United Kingdom,2149551,70754,39237,,744
"2020-12-22",overview,K02000001,United Kingdom,2110314,70221,36804,,691
"2020-12-21",overview,K02000001,United Kingdom,2073511,69688,33364,,215
"2020-12-20",overview,K02000001,United Kingdom,2040147,69131,35928,,326
"2020-12-19",overview,K02000001,United Kingdom,2004219,68637,27052,,534
"2020-12-18",overview,K02000001,United Kingdom,1977167,68167,28507,,489
"2020-12-17",overview,K02000001,United Kingdom,1948660,67663,35383,,532
"2020-12-16",overview,K02000001,United Kingdom,1913277,67140,25161,,613
"2020-12-15",overview,K02000001,United Kingdom,1888116,66703,18450,,506
"2020-12-14",overview,K02000001,United Kingdom,1869666,66253,20263,,232
"2020-12-13",overview,K02000001,United Kingdom,1849403,65777,18447,,144
"2020-12-12",overview,K02000001,United Kingdom,1830956,65364,21502,,519
"2020-12-11",overview,K02000001,United Kingdom,1809455,64926,21672,,424
